Open,High,Low,Close,Adj Close,Volume,Date,Adjusted_Close_Price
112.3700027,113.3899994,111.5100021,113.3300018,87.12995911,118944600,1/4/2010,87.12995911
113.2600021,113.6800003,112.8499985,113.6299973,87.36055756,111579900,1/5/2010,87.36055756
113.5199966,113.9899979,113.4300003,113.7099991,87.42209625,116074400,1/6/2010,87.42209625
113.5,114.3300018,113.1800003,114.1900024,87.79113007,131091100,1/7/2010,87.79113007
113.8899994,114.6200027,113.6600037,114.5699997,88.08325195,126402800,1/8/2010,88.08325195
115.0800018,115.1299973,114.2399979,114.7300034,88.20628357,106375700,1/11/2010,88.20628357
113.9700012,114.2099991,113.2200012,113.6600037,87.38366699,163333500,1/12/2010,87.38366699
113.9499969,114.9400024,113.3700027,114.6200027,88.1217041,161822000,1/13/2010,88.1217041
114.4899979,115.1399994,114.4199982,114.9300003,88.36003876,115718800,1/14/2010,88.36003876
114.7300034,114.8399963,113.1999969,113.6399994,87.36827087,212283100,1/15/2010,87.36827087
113.6200027,115.1299973,113.5899963,115.0599976,88.4599762,139172700,1/19/2010,88.4599762
114.2799988,114.4499969,112.9800034,113.8899994,87.56046295,216490200,1/20/2010,87.56046295
113.9199982,114.2699966,111.5599976,111.6999969,85.87674713,344859600,1/21/2010,85.87674713
111.1999969,111.7399979,109.0899963,109.2099991,83.96240997,345942400,1/22/2010,83.96240997
110.2099991,110.4100037,109.4100037,109.7699966,84.39296722,186937500,1/25/2010,84.39296722
109.3399963,110.4700012,109.0400009,109.3099976,84.03926849,211168800,1/26/2010,84.03926849
109.1699982,110.0800018,108.3300018,109.8300018,84.43908691,271863600,1/27/2010,84.43908691
110.1900024,110.25,107.9100037,108.5699997,83.47037506,316104000,1/28/2010,83.47037506
109.0400009,109.8000031,107.2200012,107.3899994,82.56317139,310677600,1/29/2010,82.56317139
108.1500015,109.0699997,107.5,109.0599976,83.84709167,187865000,2/1/2010,83.84709167
109.2600021,110.5899963,108.8799973,110.3799973,84.86192322,216327900,2/2/2010,84.86192322
109.8799973,110.4800034,109.5100021,109.8300018,84.43908691,172730700,2/3/2010,84.43908691
108.9800034,109.0299988,106.4199982,106.4400024,81.83280945,356715700,2/4/2010,81.83280945
106.5599976,106.8799973,104.5800018,106.6600037,82.00193024,493585800,2/5/2010,82.00193024
106.7399979,107.3300018,105.8099976,105.8899994,81.40994263,224166900,2/8/2010,81.40994263
107.1299973,108.1500015,106.2699966,107.2200012,82.43250275,337820500,2/9/2010,82.43250275
107.0500031,107.5999985,106.1100006,107.0100021,82.27101135,240511500,2/10/2010,82.27101135
106.8700027,108.25,106.25,108.1299973,83.13210297,223591600,2/11/2010,83.13210297
106.9899979,108.0999985,106.5100021,108.0400009,83.0628891,304622100,2/12/2010,83.0628891
108.8600006,109.8499985,107.8199997,109.7399979,84.36987305,159317500,2/16/2010,84.36987305
110.2699966,110.4100037,109.7399979,110.2600021,84.76968384,168845100,2/17/2010,84.76968384
110.0800018,111.1399994,110.0400009,110.9100037,85.26940918,193708600,2/18/2010,85.26940918
110.6200027,111.5699997,110.3600006,111.1399994,85.44623566,222684900,2/19/2010,85.44623566
111.5500031,111.5800018,110.8300018,111.1600037,85.46157837,132346900,2/22/2010,85.46157837
110.8600006,111.1999969,109.5199966,109.8099976,84.42371368,207497000,2/23/2010,84.42371368
110.1399994,111,109.8600006,110.8199997,85.2002182,176350700,2/24/2010,85.2002182
109.2399979,110.75,108.9400024,110.6699982,85.08490753,259634700,2/25/2010,85.08490753
110.7699966,111.1200027,110.1100006,110.7399979,85.13874054,173589300,2/26/2010,85.13874054
111.1999969,112,111.1699982,111.8899994,86.02285004,147709700,3/1/2010,86.02285004
112.3700027,112.7399979,112,112.1999969,86.26119232,160992400,3/2/2010,86.26119232
112.4899979,112.9700012,112.0199966,112.3000031,86.3380661,150785000,3/3/2010,86.3380661
112.4499969,112.8000031,112.0299988,112.6399994,86.5994339,135770400,3/4/2010,86.5994339
113.3700027,114.3399963,113.0999985,114.25,87.8372345,176118800,3/5/2010,87.8372345
114.2600021,114.5199966,114.0699997,114.2699966,87.85260773,114631200,3/8/2010,87.85260773
113.9300003,114.9899979,113.8700027,114.4599991,87.99871063,154556700,3/9/2010,87.99871063
114.5100021,115.2799988,114.4100037,114.9700012,88.39080811,186088800,3/10/2010,88.39080811
114.6999969,115.4800034,114.3499985,115.4499969,88.75982666,160791100,3/11/2010,88.75982666
115.9499969,115.9700012,115.1399994,115.4599991,88.76750946,162074800,3/12/2010,88.76750946
115.2600021,115.5699997,114.5999985,115.4899979,88.79056549,146816800,3/15/2010,88.79056549
115.8099976,116.5199966,115.4899979,116.4100037,89.49789429,168673000,3/16/2010,89.49789429
116.7600021,117.4800034,116.4199982,117.0999985,90.02835846,177468100,3/17/2010,90.02835846
117.1100006,117.2699966,116.5699997,117.0400009,89.98226166,196509100,3/18/2010,89.98226166
115.9700012,117.2900009,115.5199966,115.9700012,89.52675629,226641100,3/19/2010,89.52675629
115.3099976,116.8000031,115.2399979,116.5899963,90.00540161,184477800,3/22/2010,90.00540161
116.7600021,117.5100021,116.3799973,117.4100037,90.63844299,182941600,3/23/2010,90.63844299
116.9700012,117.4300003,115.5800018,116.8399963,90.19841003,196072600,3/24/2010,90.19841003
117.6299973,118.1699982,116.5100021,116.6500015,90.05172729,223396300,3/25/2010,90.05172729
116.8700027,117.4199982,116.1200027,116.5800018,89.99766541,205808500,3/26/2010,89.99766541
117.1699982,117.5299988,116.6900024,117.3199997,90.5689621,134513500,3/29/2010,90.5689621
117.4599991,117.8300018,116.9100037,117.4000015,90.63072205,145772500,3/30/2010,90.63072205
116.9499969,117.5199966,116.6100006,117,90.32191467,161078700,3/31/2010,90.32191467
117.8000031,118.25,117.0999985,117.8000031,90.93953705,161215200,4/1/2010,90.93953705
118.25,118.8399963,117.9199982,118.7600021,91.68061829,105847600,4/5/2010,91.68061829
118.4199982,119.25,118.2900009,119.0400009,91.89675903,110384200,4/6/2010,91.89675903
118.8000031,119.3600006,117.8099976,118.3600006,91.37182617,184576300,4/7/2010,91.37182617
117.9499969,118.9700012,117.5999985,118.7699966,91.6883316,158704000,4/8/2010,91.6883316
119.0199966,119.5999985,118.8000031,119.5500031,92.29047394,133006500,4/9/2010,92.29047394
119.6999969,120.0500031,119.5599976,119.7399979,92.43714905,110279000,4/12/2010,92.43714905
